start,idle,oracle,never_charge,oracle_sav,nochg_sav
18373,86748.17583000001,76011.33092220538,84810.11417596965,0.1237702672715052,0.022341238135408982
18396,87290.88247,76669.63229445039,85591.02189210066,0.12167651276981764,0.0194735180788617
18406,87817.22966999999,77529.50467620898,86804.65004053764,0.11714927733942726,0.011530534876440762
18412,87880.35577,77350.51216445176,86368.85276616047,0.1198202204950886,0.01719955490161439
18413,87884.97909,77048.3615240428,85741.32022508292,0.12330454735455737,0.024391641064417
18415,87887.20184,77433.20288682856,86531.9886381615,0.11894790975599728,0.015419915226174499
18427,87720.5845,77505.34135672092,86857.36509186085,0.11645206426182758,0.00984055695774747
18446,87142.22495,77088.13604255542,85907.28368709481,0.11537562775351867,0.01417155992532636
18447,87129.51082,76417.14845452565,85236.16527100003,0.12294757843418755,0.02173024422128807
18450,87080.4325,76573.30844061187,85254.72209758422,0.12065998936544238,0.02096579392179494
18454,86997.56837999998,76392.58683658906,84978.41682216716,0.12189974663531994,0.023209287287356085
18459,86904.17251,75827.32984995369,84609.9089681863,0.12746042382224754,0.026399923911014832
18460,86939.18655,76376.55461776615,85449.40061288104,0.121494487714802,0.017135954409490103
18469,86835.83727999999,75873.8649369624,84919.4758751363,0.1262378838784151,0.022068784788524996
18495,86194.87978,74607.01319204344,83599.93065549439,0.13443799234401074,0.030105606401782167
18503,86453.5083,75735.9440517772,85274.30388120687,0.1239691073152528,0.013639752069993571
18505,86540.83982999998,74889.20257187873,83996.82234043887,0.13463744147860843,0.029396727539951737
18511,86464.96306000001,75741.77418064937,85222.34718515529,0.12401773504384166,0.01437132256660354
18517,86497.32616,76000.69732045765,85438.34156146694,0.12135206145131028,0.01224297496288134
18524,86587.05494,75826.49019268784,84747.78848452814,0.12427452065171446,0.02124181792239468
18527,86594.96793,75393.17888081,83846.48959712463,0.12935842944413461,0.03173946937767945
21695,100303.55812,89179.89055886393,98743.36060197891,0.1109000295665291,0.015554757450922286
21716,100300.26845,88959.76250502182,98293.24143227289,0.1130655592475454,0.020010185902220444
21719,100321.42903,89245.27699800207,98859.1447122937,0.11040664132371691,0.014575991708302165
21726,100388.02262,88881.18698451274,98038.24718716499,0.11462359089434634,0.023406930144740934
21734,100237.05343999999,89169.15755302203,98791.78220403411,0.11041721107258,0.014418532731820458
21755,99492.61000999999,88000.61850868393,97173.42324383814,0.1155059807975789,0.02331014098362425
21759,99409.47916,88507.1920987448,98305.47088418646,0.1096704977571397,0.011105664018585523
21760,99369.29184,87684.71871596226,96653.26043494817,0.11758736434241403,0.02733270364274174
21761,99359.15610000001,87895.70949682816,97098.7905735603,0.11537383219755272,0.02274944368654626
