start,policy,cost,energy,demand,chg_steps,dis_steps,chg_steps_paid,dis_steps_paid,n_windows_paid,reward_med,reward_std,reward_min,mean_r_chg,mean_r_dis,max_demand_zar,paid_on_pairclose_frac
13070,random,105154.02798084458,105154.02798084458,0.0,331.0,299.0,0.0,0.0,0.0,-1.5340720774799672,0.7805229222807434,-5.402014093833166,-1.845094625294147,-1.4862331851480513,0.0,0.0
13074,naive_chg,82300.41999999984,82300.41999999984,0.0,,,,,,,,,,,,
13074,b0,75247.6230114073,75247.6230114073,0.0,,,,,,,,,,,,
13074,random,101067.48423938343,101067.48423938343,0.0,313.0,327.0,0.0,0.0,0.0,-1.4888544850467316,0.7465821203806832,-4.915911626986469,-1.774275301739043,-1.4122874986017324,0.0,0.0
13076,naive_chg,82317.57962999986,82317.57962999986,0.0,,,,,,,,,,,,
13076,b0,75274.29235836626,75274.29235836626,0.0,,,,,,,,,,,,
13076,random,99054.66047517903,99054.66047517903,0.0,315.0,331.0,0.0,0.0,0.0,-1.4750239106557523,0.7233612178443232,-4.969114551504352,-1.68745046861402,-1.4321097534026546,0.0,0.0
13082,naive_chg,82503.39278999987,82503.39278999987,0.0,,,,,,,,,,,,
13082,b0,74903.34259177833,74903.34259177833,0.0,,,,,,,,,,,,
13082,random,103522.67741274054,103522.67741274054,0.0,317.0,319.0,0.0,0.0,0.0,-1.4939108491493134,0.7714025215269655,-4.92739713433961,-1.8117731206880752,-1.4145941860226352,0.0,0.0
13085,naive_chg,82915.00869999986,82915.00869999986,0.0,,,,,,,,,,,,
13085,b0,75073.31683778028,75073.31683778028,0.0,,,,,,,,,,,,
13085,random,102612.80557028919,102612.80557028919,0.0,305.0,329.0,0.0,0.0,0.0,-1.4807554822339648,0.7811806640474663,-5.163770372655457,-1.8232166739174824,-1.423007010305724,0.0,0.0
13093,naive_chg,82175.31195999985,82175.31195999985,0.0,,,,,,,,,,,,
13093,b0,73199.33599426482,73199.33599426482,0.0,,,,,,,,,,,,
13093,random,101722.71878482161,101722.71878482161,0.0,331.0,307.0,0.0,0.0,0.0,-1.5130638954647537,0.7580117303048134,-4.889537302172218,-1.7465001761988912,-1.50706825773896,0.0,0.0
13104,naive_chg,82390.58600999985,82390.58600999985,0.0,,,,,,,,,,,,
13104,b0,73681.51795217687,73681.51795217687,0.0,,,,,,,,,,,,
13104,random,101814.52058819134,101814.52058819134,0.0,300.0,344.0,0.0,0.0,0.0,-1.4802182038190854,0.7402608622530323,-5.203675965239977,-1.7626795412804328,-1.4335018763862395,0.0,0.0
13108,naive_chg,81203.75581999987,81203.75581999987,0.0,,,,,,,,,,,,
13108,b0,72264.98026239041,72264.98026239041,0.0,,,,,,,,,,,,
13108,random,100928.07896534802,100928.07896534802,0.0,326.0,311.0,0.0,0.0,0.0,-1.5246428266586554,0.7096012197112586,-5.528858384793876,-1.6900589395466339,-1.5089548970529338,0.0,0.0
13127,naive_chg,82206.72354999991,82206.72354999991,0.0,,,,,,,,,,,,
13127,b0,72895.2269932937,72895.2269932937,0.0,,,,,,,,,,,,
13127,random,101796.49103989165,101796.49103989165,0.0,309.0,326.0,0.0,0.0,0.0,-1.4836005513273616,0.7954336936786031,-5.528047887576683,-1.820034077363611,-1.4095829848246475,0.0,0.0
13141,naive_chg,81291.18062999994,81291.18062999994,0.0,,,,,,,,,,,,
13141,b0,72346.35065290889,72346.35065290889,0.0,,,,,,,,,,,,
13141,random,100071.68057009757,100071.68057009757,0.0,314.0,320.0,0.0,0.0,0.0,-1.492825016318161,0.7292100173072892,-5.011662200193743,-1.718428778026739,-1.4630260380175037,0.0,0.0
13142,naive_chg,81896.08421999995,81896.08421999995,0.0,,,,,,,,,,,,
13142,b0,72942.96602785242,72942.96602785242,0.0,,,,,,,,,,,,
13142,random,100167.36644374605,100167.36644374605,0.0,310.0,328.0,0.0,0.0,0.0,-1.4784622547534343,0.7475457513602541,-5.262044974733446,-1.7317841147069348,-1.3916015647021478,0.0,0.0
13149,naive_chg,81110.98763999996,81110.98763999996,0.0,,,,,,,,,,,,
13149,b0,72740.44512303002,72740.44512303002,0.0,,,,,,,,,,,,
13149,random,103202.4217320193,103202.4217320193,0.0,312.0,319.0,0.0,0.0,0.0,-1.5125993915085312,0.7614522654761672,-5.174852625824235,-1.765973802875501,-1.4837007707017988,0.0,0.0
16482,naive_chg,77103.72631,77103.72631,0.0,,,,,,,,,,,,
16482,b0,68997.21771412234,68997.21771412234,0.0,,,,,,,,,,,,
16482,random,99438.61672789618,99438.61672789618,0.0,315.0,328.0,0.0,0.0,0.0,-1.4674275181190857,0.709784124314176,-4.991855155531504,-1.703011405244496,-1.4354070045144058,0.0,0.0
16488,naive_chg,77714.38193348599,77714.38193348599,0.0,,,,,,,,,,,,
16488,b0,68500.34800875885,68500.34800875885,0.0,,,,,,,,,,,,
16488,random,100469.45696431796,100469.45696431796,0.0,304.0,337.0,0.0,0.0,0.0,-1.4708251012932283,0.8159850771962218,-6.269600329696532,-1.7902015759364458,-1.4051793946694522,0.0,0.0
16497,naive_chg,77562.25163000003,77562.25163000003,0.0,,,,,,,,,,,,
16497,b0,68657.11532001673,68657.11532001673,0.0,,,,,,,,,,,,
16497,random,99517.08700120175,99517.08700120175,0.0,327.0,304.0,0.0,0.0,0.0,-1.489958617016956,0.726518371278719,-4.985052783713919,-1.7271975153214623,-1.477375367698495,0.0,0.0
16506,naive_chg,77699.38572000003,77699.38572000003,0.0,,,,,,,,,,,,
16506,b0,69076.62004647419,69076.62004647419,0.0,,,,,,,,,,,,
16506,random,100503.40280994624,100503.40280994624,0.0,325.0,308.0,0.0,0.0,0.0,-1.4880663175276148,0.7376451665354442,-4.875118818612916,-1.7436220411407277,-1.439224278735451,0.0,0.0
16507,naive_chg,77903.92403757814,77903.92403757814,0.0,,,,,,,,,,,,
16507,b0,69323.00730623129,69323.00730623129,0.0,,,,,,,,,,,,
16507,random,98791.76257681614,98791.76257681614,0.0,322.0,316.0,0.0,0.0,0.0,-1.474714199745558,0.7562211956421526,-5.825417691024631,-1.7298130669082257,-1.4312982673277852,0.0,0.0
16508,naive_chg,77423.85363000006,77423.85363000006,0.0,,,,,,,,,,,,
16508,b0,68895.45683250643,68895.45683250643,0.0,,,,,,,,,,,,
16508,random,96820.3792083336,96820.3792083336,0.0,292.0,348.0,0.0,0.0,0.0,-1.466039156874118,0.7051941446695216,-5.182018292309996,-1.699003650347,-1.3780088652011906,0.0,0.0
18340,naive_chg,86965.56078000004,86965.56078000004,0.0,,,,,,,,,,,,
18340,b0,79312.30764665171,79312.30764665171,0.0,,,,,,,,,,,,
18340,random,105619.39821366862,105619.39821366862,0.0,298.0,335.0,0.0,0.0,0.0,-1.552583328919162,0.8257789199378882,-5.324758886648189,-1.8645366384175435,-1.5004145289598576,0.0,0.0
18343,naive_chg,87184.54611000004,87184.54611000004,0.0,,,,,,,,,,,,
18343,b0,79583.09957789714,79583.09957789714,0.0,,,,,,,,,,,,
18343,random,107583.66059131401,107583.66059131401,0.0,325.0,317.0,0.0,0.0,0.0,-1.547475996702779,0.8341626205746362,-5.675610012692469,-1.8328579973674466,-1.5763735142411361,0.0,0.0
18344,naive_chg,87403.62035000004,87403.62035000004,0.0,,,,,,,,,,,,
18344,b0,79778.60649712267,79778.60649712267,0.0,,,,,,,,,,,,
18344,random,106374.89882005172,106374.89882005172,0.0,315.0,330.0,0.0,0.0,0.0,-1.5327879175041343,0.7949448183044134,-5.330447291065701,-1.8030837786303902,-1.5487024433905376,0.0,0.0
18353,naive_chg,86912.92606000004,86912.92606000004,0.0,,,,,,,,,,,,
18353,b0,79311.02912498642,79311.02912498642,0.0,,,,,,,,,,,,
18353,random,107527.06479021916,107527.06479021916,0.0,342.0,292.0,0.0,0.0,0.0,-1.583395346441848,0.850170659382646,-5.9375273623370814,-1.8837287359402342,-1.5363607697097577,0.0,0.0
18359,naive_chg,86786.63100629917,86786.63100629917,0.0,,,,,,,,,,,,
18359,b0,79050.89551305307,79050.89551305307,0.0,,,,,,,,,,,,
18359,random,106618.62337969927,106618.62337969927,0.0,309.0,334.0,0.0,0.0,0.0,-1.5188131410524908,0.8326504600040264,-5.4215500185627485,-1.8800254486156571,-1.4990041536821388,0.0,0.0
18365,naive_chg,87235.13590000002,87235.13590000002,0.0,,,,,,,,,,,,
