arm,fault,severity,cost,energy,demand,clipped,clip_dis,clip_chg,clip_floor,clip_ceil,clip_full,sat,act_dev
S3,F1,1,87500.7546876333,87500.7546876333,0.0,0.47038690476190476,0.47038690476190476,0.0,0.47038690476190476,0.0,0.0002232142857142857,0.0012648809523809524,0.009234753166813225
S3,F1,2,88950.44620571642,88950.44620571642,0.0,0.5040922619047619,0.5040922619047619,0.0,0.5040922619047619,0.0,0.0002232142857142857,0.003125,0.13641186695368518
S3,F1,3,90330.56616765921,90330.56616765921,0.0,0.4618303571428572,0.4618303571428572,0.0,0.4618303571428572,0.0,0.0,0.0013392857142857143,0.28901338740473703
S3,F2,1,87424.42369014291,87424.42369014291,0.0,0.4753720238095238,0.4753720238095238,0.0,0.4753720238095238,0.0,0.0002232142857142857,0.0012648809523809524,0.0
S3,F2,2,87424.42369014291,87424.42369014291,0.0,0.4753720238095238,0.4753720238095238,0.0,0.4753720238095238,0.0,0.0002232142857142857,0.0012648809523809524,0.0
S3,F2,3,87800.77451637796,87800.77451637796,0.0,0.4816220238095238,0.4816220238095238,0.0,0.4816220238095238,0.0,0.0002232142857142857,0.0014136904761904762,0.06310114671165745
S3,F3,1,87424.42369014291,87424.42369014291,0.0,0.4753720238095238,0.4753720238095238,0.0,0.4753720238095238,0.0,0.0002232142857142857,0.0012648809523809524,0.0
S3,F3,2,87424.4236898117,87424.4236898117,0.0,0.4753720238095238,0.4753720238095238,0.0,0.4753720238095238,0.0,0.0002232142857142857,0.0012648809523809524,7.844693692667145e-05
S3,F3,3,87424.94013392627,87424.94013392627,0.0,0.47544642857142855,0.47544642857142855,0.0,0.47544642857142855,0.0,0.0002232142857142857,0.0012648809523809524,0.00042138635846120966
S3,F4,1,87437.03678287049,87437.03678287049,0.0,0.4738839285714286,0.4738839285714286,0.0,0.4738839285714286,0.0,0.0002232142857142857,0.0012648809523809524,0.006333263817110232
S3,F4,2,87487.74157576833,87487.74157576833,0.0,0.47507440476190477,0.47507440476190477,0.0,0.47507440476190477,0.0,0.0002232142857142857,0.0012648809523809524,0.02519266304693052
S3,F4,3,87500.4627284074,87500.4627284074,0.0,0.478125,0.478125,0.0,0.478125,0.0,0.0002232142857142857,0.0012648809523809524,0.03928663307978284
S3,F5,1,87427.04412537234,87427.04412537234,0.0,0.47507440476190477,0.47507440476190477,0.0,0.47507440476190477,0.0,0.0002976190476190476,0.0012648809523809524,0.00260386262532501
S3,F5,2,87433.9662937636,87433.9662937636,0.0,0.4755952380952381,0.4755952380952381,0.0,0.4755952380952381,0.0,0.0002976190476190476,0.0012648809523809524,0.006337647033589228
S3,F5,3,87447.96016044018,87447.96016044018,0.0,0.47626488095238095,0.47626488095238095,0.0,0.47626488095238095,0.0,0.0002976190476190476,0.0013392857142857143,0.012297528312497195
S3,F6a,1,88748.8880019862,88748.8880019862,0.0,0.4775297619047619,0.4775297619047619,0.0,0.4775297619047619,0.0,0.0002976190476190476,0.001488095238095238,0.11330466525895255
S3,F6a,2,92480.58150701698,92480.58150701698,0.0,0.4767857142857143,0.4767857142857143,0.0,0.4767857142857143,0.0,0.0001488095238095238,0.002232142857142857,0.24238476121265973
S3,F6a,3,97728.36475080182,97728.36475080182,0.0,0.4980654761904762,0.4980654761904762,0.0,0.4980654761904762,0.0,7.44047619047619e-05,0.002232142857142857,0.3854684992604667
S3,F6b,1,87736.49826201408,87736.49826201408,0.0,0.4831845238095238,0.4831845238095238,0.0,0.4831845238095238,0.0,0.0002232142857142857,0.0011160714285714285,0.029398804818767877
S3,F6b,2,88136.82514756857,88136.82514756857,0.0,0.4819940476190476,0.4819940476190476,0.0,0.4819940476190476,0.0,0.0002232142857142857,0.0013392857142857143,0.08298072086292363
S3,F6b,3,90502.95386485527,90502.95386485527,0.0,0.5048363095238095,0.5048363095238095,0.0,0.5048363095238095,0.0,7.44047619047619e-05,0.0010416666666666667,0.1894166830128857
S3,none,0,87424.42369014291,87424.42369014291,0.0,0.4753720238095238,0.4753720238095238,0.0,0.4753720238095238,0.0,0.0002232142857142857,0.0012648809523809524,0.0
